	0
1159	10
1160	5
1161	1
1162	8
1163	4
1164	1
1165	5
1166	4
1167	5
1168	4
1169	6
1170	4
1171	7
1172	6
1173	3
1174	6
1175	3
1176	6
1177	3
1178	3
1179	5
1180	5
1181	6
1182	3
1183	1
1184	6
1185	3
1186	3
1187	2
1188	1
1189	6
1190	4
1191	5
1192	10
1193	3
1194	3
1195	5
1196	5
1197	3
1198	3
1199	4
1200	9
1201	6
1202	6
1203	8
1204	9
1205	9
1206	1
1207	6
1208	3
1209	6
1210	5
1211	3
1212	5
1213	1
1214	2
1215	3
1216	5
1217	4
1218	6
1219	6
1220	4
1221	3
1222	5
1223	4
1224	10
1225	5
1226	8
1227	6
1228	7
1229	10
1230	3
1231	1
1232	5
1233	5
1234	4
1235	2
1236	10
1237	5
1238	10
1239	7
1240	4
1241	9
1242	5
1243	9
1244	5
1245	1
1246	1
1247	4
1248	3
1249	6
1250	5
1251	6
1252	4
1253	4
1254	3
1255	5
1256	3
1257	3
1258	6
1259	9
1260	1
1261	1
1262	7
1263	3
1264	8
1265	1
1266	5
1267	5
1268	5
1269	9
1270	4
1271	4
1272	6
1273	1
1274	3
1275	5
1276	6
1277	4
1278	3
1279	3
1280	9
1281	3
1282	4
1283	4
1284	1
1285	5
1286	8
1287	6
1288	1
1289	6
1290	10
1291	3
1292	6
1293	4
1294	4
1295	1
1296	5
1297	3
1298	6
1299	4
1300	9
1301	9
1302	6
1303	10
1304	8
1305	4
1306	9
1307	2
1308	3
1309	5
1310	5
1311	4
1312	4
1313	3
1314	8
1315	6
1316	2
1317	7
1318	3
1319	3
1320	6
1321	1
1322	2
1323	3
1324	1
1325	9
1326	9
1327	0
1328	4
1329	4
1330	2
1331	10
1332	4
1333	7
1334	3
1335	6
1336	1
1337	5
1338	1
1339	3
1340	4
1341	1
1342	3
1343	8
1344	6
1345	3
1346	7
1347	5
1348	3
1349	2
1350	9
1351	2
1352	3
1353	2
1354	3
1355	2
1356	2
1357	9
1358	2
1359	3
1360	5
1361	2
1362	5
1363	5
1364	3
1365	4
1366	5
1367	8
1368	4
1369	4
1370	3
1371	5
1372	1
1373	7
1374	1
1375	1
1376	3
1377	9
1378	9
1379	3
1380	1
1381	4
1382	5
1383	8
1384	5
1385	10
1386	2
1387	4
1388	6
1389	3
1390	6
1391	8
1392	8
1393	6
1394	4
1395	8
1396	9
1397	9
1398	6
1399	5
1400	6
1401	5
1402	1
1403	8
1404	4
1405	1
1406	9
1407	4
1408	6
1409	5
1410	3
1411	1
1412	2
1413	4
1414	10
1415	8
1416	5
1417	4
1418	5
1419	7
1420	10
1421	2
1422	5
1423	6
1424	2
1425	5
1426	4
1427	1
1428	1
1429	1
1430	6
1431	5
1432	6
1433	3
1434	1
1435	2
1436	5
1437	10
1438	8
1439	10
1440	6
1441	0
1442	3
1443	8
1444	6
1445	9
1446	6
1447	7
1448	6
1449	6
1450	5
1451	3
1452	8
1453	3
1454	9
1455	6
1456	6
1457	3
1458	6
1459	6
1460	3
1461	5
1462	5
1463	1
1464	4
1465	6
1466	5
1467	6
1468	4
1469	4
1470	4
1471	1
1472	3
1473	9
1474	6
1475	7
1476	10
1477	6
1478	6
1479	5
1480	1
1481	5
1482	3
1483	5
1484	3
1485	1
1486	4
1487	8
1488	5
1489	4
1490	9
1491	5
1492	6
1493	9
1494	2
1495	4
1496	3
1497	7
1498	1
1499	5
1500	2
1501	10
1502	7
1503	9
1504	8
1505	7
1506	9
1507	8
1508	10
1509	8
1510	6
1511	8
1512	7
1513	3
1514	5
1515	10
1516	8
1517	9
1518	10
1519	9
1520	8
1521	8
1522	4
1523	2
1524	3
1525	8
1526	10
1527	8
1528	9
1529	3
1530	7
1531	7
1532	4
1533	3
1534	7
1535	10
1536	10
1537	5
1538	6
1539	9
1540	8
1541	10
1542	5
1543	10
1544	7
1545	3
1546	7
1547	7
1548	8
1549	9
1550	7
1551	7
1552	8
1553	3
1554	10
1555	8
1556	8
1557	7
1558	8
1559	10
1560	8
1561	6
1562	7
1563	10
1564	1
1565	8
1566	9
1567	9
1568	5
1569	7
1570	8
1571	4
1572	6
1573	9
1574	3
1575	9
1576	8
1577	9
1578	8
1579	8
1580	8
1581	8
1582	9
1583	7
1584	2
1585	7
1586	7
1587	6
1588	8
1589	8
1590	5
1591	3
1592	3
1593	10
1594	10
1595	3
1596	7
1597	10
1598	7
1599	4
1600	10
1601	5
1602	8
1603	3
1604	9
1605	10
1606	6
1607	8
1608	6
1609	9
1610	5
1611	7
1612	10
1613	7
1614	7
1615	3
1616	7
1617	9
1618	3
1619	10
1620	7
1621	7
1622	1
1623	10
1624	3
1625	10
1626	8
1627	7
1628	9
1629	9
1630	10
1631	9
1632	7
1633	8
1634	8
1635	9
1636	3
1637	10
1638	10
1639	8
1640	10
1641	6
1642	10
1643	6
1644	10
1645	10
1646	3
1647	10
1648	10
1649	10
1650	7
1651	9
1652	9
1653	3
1654	7
1655	8
1656	5
1657	6
1658	9
1659	10
1660	9
1661	3
1662	6
1663	8
1664	5
1665	8
1666	8
1667	9
1668	9
1669	8
1670	10
1671	10
1672	6
1673	8
1674	8
1675	9
1676	8
1677	5
1678	10
1679	9
1680	8
1681	8
1682	9
1683	10
1684	8
1685	7
1686	9
1687	8
1688	10
1689	8
1690	9
1691	10
1692	9
1693	4
1694	4
1695	5
1696	10
1697	7
1698	9
1699	10
1700	10
1701	8
1702	4
1703	7
1704	8
1705	8
1706	3
1707	10
1708	10
1709	7
1710	10
1711	8
1712	10
1713	8
1714	8
1715	7
1716	5
1717	9
1718	10
1719	9
1720	8
1721	8
1722	8
1723	3
1724	7
1725	9
1726	7
1727	9
1728	9
1729	5
1730	8
1731	7
1732	7
1733	8
1734	10
1735	7
1736	6
1737	7
1738	8
1739	10
1740	9
1741	9
1742	7
1743	9
1744	8
1745	5
1746	10
1747	8
1748	8
1749	10
1750	7
1751	3
1752	10
1753	8
1754	9
1755	6
1756	9
1757	6
1758	3
1759	9
1760	7
1761	7
1762	7
1763	4
1764	9
1765	8
1766	9
1767	4
1768	6
1769	10
1770	9
1771	9
1772	7
1773	10
1774	10
1775	7
1776	10
1777	10
1778	7
1779	9
1780	8
1781	7
1782	8
1783	7
1784	10
1785	7
1786	8
1787	9
1788	7
1789	9
1790	7
1791	9
1792	7
1793	10
1794	3
1795	10
1796	9
1797	5
1798	7
1799	10
1800	8
1801	9
1802	10
1803	7
1804	10
1805	8
1806	7
1807	7
1808	9
1809	3
1810	7
1811	10
1812	3
1813	3
1814	3
1815	8
1816	7
1817	6
1818	9
1819	9
1820	7
1821	8
1822	9
1823	8
1824	5
1825	3
1826	9
1827	6
1828	9
1829	9
1830	7
1831	9
1832	9
1833	9
1834	5
1835	3
1836	8
1837	7
1838	6
1839	6
1840	8
1841	10
1842	10
1843	9
1844	7
1845	7
1846	7
1847	10
1848	6
1849	4
1850	3
1851	10
1852	8
1853	3
1854	10
1855	10
1856	10
1857	9
1858	7
1859	10
1860	7
1861	10
1862	10
1863	8
1864	7
1865	7
1866	7
1867	10
1868	7
1869	7
1870	10
1871	3
1872	8
1873	9
1874	10
1875	6
1876	8
1877	10
1878	7
1879	8
1880	6
1881	10
1882	10
1883	7
1884	8
1885	8
1886	9
1887	8
1888	10
1889	9
1890	9
1891	9
1892	10
1893	7
1894	4
1895	8
1896	9
1897	7
1898	7
1899	10
1900	9
1901	7
1902	9
1903	8
1904	8
1905	6
1906	8
1907	10
1908	10
1909	9
1910	9
1911	5
1912	7
1913	9
1914	8
1915	4
1916	9
1917	10
1918	8
1919	8
1920	10
1921	9
1922	9
1923	7
1924	7
1925	10
1926	8
1927	6
1928	5
1929	5
1930	9
1931	8
1932	9
1933	9
1934	10
1935	9
1936	8
1937	8
1938	3
1939	4
1940	7
1941	10
1942	8
1943	7
1944	8
1945	9
1946	5
1947	8
1948	3
1949	4
1950	3
1951	10
1952	5
1953	3
1954	5
1955	10
1956	9
1957	8
1958	8
1959	9
1960	9
1961	7
1962	10
1963	8
1964	10
1965	9
1966	7
1967	7
1968	9
1969	2
1970	8
1971	8
1972	10
1973	9
1974	10
1975	10
1976	8
1977	9
1978	9
1979	7
1980	7
1981	7
1982	8
1983	7
1984	7
1985	9
1986	4
1987	10
1988	6
1989	8
1990	7
1991	9
1992	9
1993	5
1994	6
1995	7
1996	8
1997	9
1998	7
1999	8
