	x
500	Group2
501	Group2
502	Group15
503	Group13
504	Group5
505	Group14
506	Group13
507	Group5
508	Group5
509	Group5
510	Group2
511	Group10
512	Group15
513	Group10
514	Group13
515	Group15
516	Group15
517	Group6
518	Group6
519	Group5
520	Group3
521	Group13
522	Group13
523	Group4
524	Group4
525	Group6
526	Group6
527	Group14
528	Group15
529	Group9
530	Group13
531	Group4
532	Group1
533	Group6
534	Group7
535	Group11
536	Group14
537	Group6
538	Group5
539	Group14
540	Group11
541	Group13
542	Group13
543	Group1
544	Group4
545	Group2
546	Group10
547	Group6
548	Group3
549	Group7
550	Group6
551	Group6
552	Group5
553	Group14
554	Group13
555	Group5
556	Group7
557	Group6
558	Group10
559	Group4
560	Group1
561	Group14
562	Group4
563	Group7
564	Group11
565	Group13
566	Group12
567	Group5
568	Group15
569	Group15
570	Group12
571	Group11
572	Group10
573	Group6
574	Group3
575	Group12
576	Group14
577	Group12
578	Group15
579	Group7
580	Group5
581	Group5
582	Group11
583	Group13
584	Group8
585	Group2
586	Group4
587	Group2
588	Group6
589	Group14
590	Group2
591	Group13
592	Group4
593	Group4
594	Group5
595	Group13
596	Group7
597	Group11
598	Group1
599	Group14
600	Group3
601	Group15
602	Group12
603	Group14
604	Group15
605	Group15
606	Group4
607	Group5
608	Group10
609	Group14
610	Group2
611	Group4
612	Group7
613	Group7
614	Group9
615	Group12
616	Group14
617	Group4
618	Group14
619	Group9
620	Group14
621	Group5
622	Group13
623	Group12
624	Group5
625	Group10
626	Group15
627	Group15
628	Group15
629	Group7
630	Group14
631	Group4
632	Group3
633	Group14
634	Group3
635	Group13
636	Group14
637	Group1
638	Group2
639	Group1
640	Group13
641	Group15
642	Group6
643	Group15
644	Group5
645	Group6
646	Group2
647	Group5
648	Group9
649	Group4
650	Group11
651	Group2
652	Group14
653	Group15
654	Group13
655	Group8
656	Group2
657	Group5
658	Group5
659	Group5
660	Group2
661	Group11
662	Group9
663	Group11
664	Group4
665	Group9
666	Group15
667	Group14
668	Group14
669	Group3
670	Group2
671	Group2
672	Group5
673	Group8
674	Group9
675	Group12
676	Group6
677	Group15
678	Group6
679	Group3
680	Group14
681	Group7
682	Group2
683	Group5
684	Group13
685	Group15
686	Group3
687	Group14
688	Group13
689	Group8
690	Group6
691	Group14
692	Group5
693	Group3
694	Group4
695	Group15
696	Group1
697	Group15
698	Group1
699	Group6
700	Group11
701	Group14
702	Group15
703	Group15
704	Group7
705	Group13
706	Group12
707	Group9
708	Group12
709	Group15
710	Group10
711	Group7
712	Group9
713	Group2
714	Group5
715	Group11
716	Group13
717	Group5
718	Group8
719	Group3
720	Group1
721	Group12
722	Group12
723	Group11
724	Group4
725	Group8
726	Group14
727	Group13
728	Group4
729	Group12
730	Group4
731	Group4
732	Group9
733	Group3
734	Group14
735	Group14
736	Group14
737	Group1
738	Group7
739	Group10
740	Group7
741	Group5
742	Group1
743	Group11
744	Group1
745	Group14
746	Group14
747	Group14
748	Group14
749	Group12
750	Group13
751	Group15
752	Group12
753	Group8
754	Group7
755	Group5
756	Group14
757	Group4
758	Group10
759	Group13
760	Group7
761	Group8
762	Group14
763	Group15
764	Group12
765	Group6
766	Group11
767	Group14
768	Group2
769	Group6
770	Group12
771	Group15
772	Group4
773	Group5
774	Group12
775	Group15
776	Group5
777	Group11
778	Group11
779	Group12
780	Group6
781	Group13
782	Group7
783	Group10
784	Group13
785	Group7
786	Group8
787	Group2
788	Group14
789	Group14
790	Group1
791	Group12
792	Group2
793	Group5
794	Group6
795	Group7
796	Group5
797	Group1
798	Group4
799	Group12
800	Group7
801	Group5
802	Group11
803	Group8
804	Group10
805	Group10
806	Group1
807	Group15
808	Group13
809	Group8
810	Group4
811	Group13
812	Group6
813	Group6
814	Group10
815	Group15
816	Group8
817	Group11
818	Group11
819	Group9
820	Group11
821	Group14
822	Group15
823	Group7
824	Group15
825	Group5
826	Group15
827	Group13
828	Group12
829	Group15
830	Group11
831	Group6
832	Group14
833	Group13
834	Group7
835	Group5
836	Group7
837	Group12
838	Group15
839	Group12
840	Group13
841	Group9
842	Group4
843	Group14
844	Group15
845	Group14
846	Group11
847	Group9
848	Group5
849	Group15
850	Group15
851	Group2
852	Group15
853	Group14
854	Group8
855	Group8
856	Group5
857	Group5
858	Group4
859	Group15
860	Group4
861	Group6
862	Group7
863	Group13
864	Group2
865	Group4
866	Group1
867	Group4
868	Group9
869	Group14
870	Group9
871	Group15
872	Group7
873	Group2
874	Group12
875	Group10
876	Group10
877	Group11
878	Group2
879	Group11
880	Group4
881	Group4
882	Group6
883	Group2
884	Group12
885	Group8
886	Group4
887	Group14
888	Group7
889	Group10
890	Group5
891	Group5
892	Group14
893	Group14
894	Group10
895	Group4
896	Group6
897	Group5
898	Group1
899	Group5
900	Group6
901	Group13
902	Group15
903	Group9
904	Group10
905	Group11
906	Group14
907	Group10
908	Group12
909	Group14
910	Group6
911	Group14
912	Group1
913	Group11
914	Group6
915	Group13
916	Group6
917	Group4
918	Group14
919	Group11
920	Group12
921	Group2
922	Group10
923	Group5
924	Group14
925	Group14
926	Group1
927	Group8
928	Group12
929	Group5
930	Group5
931	Group13
932	Group12
933	Group10
934	Group6
935	Group2
936	Group2
937	Group9
938	Group7
939	Group14
940	Group5
941	Group15
942	Group6
943	Group15
944	Group1
945	Group2
946	Group3
947	Group13
948	Group15
949	Group4
950	Group15
951	Group11
952	Group11
953	Group12
954	Group12
955	Group8
956	Group5
957	Group11
958	Group7
959	Group13
960	Group12
961	Group2
962	Group14
963	Group6
964	Group4
965	Group14
966	Group14
967	Group7
968	Group14
969	Group10
970	Group6
971	Group6
972	Group11
973	Group3
974	Group2
975	Group3
976	Group6
977	Group6
978	Group9
979	Group15
980	Group12
981	Group6
982	Group10
983	Group13
984	Group5
985	Group5
986	Group1
987	Group2
988	Group10
989	Group7
990	Group14
991	Group15
992	Group13
993	Group11
994	Group4
995	Group6
996	Group15
997	Group4
998	Group12
999	Group14
1000	Group12
1001	Group13
1002	Group14
1003	Group12
1004	Group12
1005	Group4
1006	Group2
1007	Group6
1008	Group15
1009	Group6
1010	Group10
1011	Group15
1012	Group7
1013	Group15
1014	Group14
1015	Group14
1016	Group12
1017	Group3
1018	Group8
1019	Group6
1020	Group11
1021	Group2
1022	Group12
1023	Group15
1024	Group9
1025	Group15
1026	Group12
1027	Group12
1028	Group9
1029	Group9
1030	Group1
1031	Group10
1032	Group14
1033	Group6
1034	Group6
1035	Group4
1036	Group15
1037	Group14
1038	Group12
1039	Group1
1040	Group4
1041	Group1
1042	Group15
1043	Group12
1044	Group4
1045	Group4
1046	Group13
1047	Group13
1048	Group13
1049	Group4
1050	Group15
1051	Group4
1052	Group14
1053	Group14
1054	Group6
1055	Group11
1056	Group7
1057	Group4
1058	Group13
1059	Group15
1060	Group6
1061	Group7
1062	Group9
1063	Group9
1064	Group6
1065	Group2
1066	Group12
1067	Group14
1068	Group6
1069	Group9
1070	Group2
1071	Group6
1072	Group6
1073	Group4
1074	Group13
1075	Group2
1076	Group13
1077	Group15
1078	Group13
1079	Group8
1080	Group6
1081	Group7
1082	Group14
1083	Group4
1084	Group7
1085	Group6
1086	Group9
1087	Group7
1088	Group5
1089	Group4
1090	Group11
1091	Group15
1092	Group3
1093	Group9
1094	Group14
1095	Group14
1096	Group1
1097	Group9
1098	Group10
1099	Group14
1100	Group15
1101	Group6
1102	Group14
1103	Group2
1104	Group13
1105	Group15
1106	Group10
1107	Group12
1108	Group7
1109	Group12
1110	Group14
1111	Group5
1112	Group6
1113	Group12
1114	Group4
1115	Group15
1116	Group8
1117	Group15
1118	Group9
1119	Group5
1120	Group7
1121	Group15
1122	Group13
1123	Group8
1124	Group5
1125	Group11
1126	Group14
1127	Group1
1128	Group9
1129	Group5
1130	Group10
1131	Group14
1132	Group6
1133	Group7
1134	Group5
1135	Group4
1136	Group11
1137	Group14
1138	Group15
1139	Group9
1140	Group15
1141	Group6
1142	Group6
1143	Group6
1144	Group7
1145	Group14
1146	Group15
1147	Group4
1148	Group1
1149	Group5
1150	Group6
1151	Group15
1152	Group1
1153	Group6
1154	Group8
1155	Group11
1156	Group7
1157	Group15
1158	Group6
1159	Group15
1160	Group15
1161	Group7
1162	Group13
1163	Group14
1164	Group2
1165	Group11
1166	Group4
1167	Group10
1168	Group4
1169	Group15
1170	Group11
1171	Group6
1172	Group14
1173	Group5
1174	Group15
1175	Group9
1176	Group12
1177	Group14
1178	Group2
1179	Group6
1180	Group8
1181	Group15
1182	Group11
1183	Group4
1184	Group8
1185	Group13
1186	Group14
1187	Group12
1188	Group13
1189	Group6
1190	Group12
1191	Group4
1192	Group6
1193	Group9
1194	Group10
1195	Group4
1196	Group11
1197	Group12
1198	Group4
1199	Group7
1200	Group12
1201	Group2
1202	Group4
1203	Group4
1204	Group8
1205	Group4
1206	Group1
1207	Group14
1208	Group5
1209	Group15
1210	Group4
1211	Group13
1212	Group14
1213	Group6
1214	Group1
1215	Group3
1216	Group14
1217	Group9
1218	Group15
1219	Group1
1220	Group1
1221	Group15
1222	Group10
1223	Group3
1224	Group4
1225	Group6
1226	Group4
1227	Group13
1228	Group14
1229	Group10
1230	Group15
1231	Group14
1232	Group7
1233	Group4
1234	Group8
1235	Group12
1236	Group11
1237	Group1
1238	Group3
1239	Group7
1240	Group9
1241	Group10
1242	Group10
1243	Group14
1244	Group5
1245	Group8
1246	Group6
1247	Group3
1248	Group4
1249	Group2
1250	Group13
1251	Group13
1252	Group15
1253	Group12
1254	Group12
1255	Group6
1256	Group14
1257	Group12
1258	Group15
1259	Group3
1260	Group12
1261	Group10
1262	Group5
1263	Group6
1264	Group5
1265	Group7
1266	Group5
1267	Group13
1268	Group9
1269	Group4
1270	Group10
1271	Group5
1272	Group7
1273	Group10
1274	Group10
1275	Group4
1276	Group4
1277	Group4
1278	Group10
1279	Group7
1280	Group12
1281	Group10
1282	Group6
1283	Group6
1284	Group7
1285	Group14
1286	Group5
1287	Group6
1288	Group5
1289	Group8
1290	Group12
1291	Group2
1292	Group12
1293	Group15
1294	Group10
1295	Group15
1296	Group6
1297	Group12
1298	Group6
1299	Group15
1300	Group2
1301	Group14
1302	Group1
1303	Group15
1304	Group7
1305	Group12
1306	Group14
1307	Group8
1308	Group15
1309	Group11
1310	Group10
1311	Group13
1312	Group4
1313	Group11
1314	Group8
1315	Group10
1316	Group15
1317	Group10
1318	Group3
1319	Group5
1320	Group2
1321	Group12
1322	Group13
1323	Group13
1324	Group12
1325	Group13
1326	Group9
1327	Group4
1328	Group10
1329	Group13
1330	Group11
1331	Group13
1332	Group8
1333	Group15
1334	Group1
1335	Group13
1336	Group4
1337	Group4
1338	Group14
1339	Group6
1340	Group13
1341	Group1
1342	Group11
1343	Group14
1344	Group4
1345	Group14
1346	Group4
1347	Group14
1348	Group11
1349	Group15
1350	Group13
1351	Group14
1352	Group10
1353	Group13
1354	Group12
1355	Group7
1356	Group2
1357	Group5
1358	Group12
1359	Group8
1360	Group9
1361	Group4
1362	Group11
1363	Group6
1364	Group6
1365	Group5
1366	Group3
1367	Group2
1368	Group3
1369	Group6
1370	Group2
1371	Group12
1372	Group14
1373	Group15
1374	Group9
1375	Group15
1376	Group11
1377	Group8
1378	Group5
1379	Group6
1380	Group2
1381	Group15
1382	Group9
1383	Group6
1384	Group7
1385	Group8
1386	Group3
1387	Group5
1388	Group13
1389	Group11
1390	Group11
1391	Group2
1392	Group11
1393	Group1
1394	Group15
1395	Group2
1396	Group7
1397	Group10
1398	Group9
1399	Group5
1400	Group15
1401	Group1
1402	Group13
1403	Group12
1404	Group2
1405	Group2
1406	Group13
1407	Group4
1408	Group11
1409	Group15
1410	Group5
1411	Group6
1412	Group14
1413	Group12
1414	Group13
1415	Group3
1416	Group9
1417	Group2
1418	Group11
1419	Group11
1420	Group10
1421	Group12
1422	Group6
1423	Group6
1424	Group4
1425	Group12
1426	Group11
1427	Group7
1428	Group15
1429	Group14
1430	Group12
1431	Group8
1432	Group3
1433	Group12
1434	Group6
1435	Group5
1436	Group12
1437	Group7
1438	Group6
1439	Group4
1440	Group15
1441	Group3
1442	Group1
1443	Group6
1444	Group15
1445	Group14
1446	Group13
1447	Group2
1448	Group5
1449	Group6
1450	Group2
1451	Group1
1452	Group13
1453	Group2
1454	Group11
1455	Group15
1456	Group12
1457	Group11
1458	Group10
1459	Group7
1460	Group13
1461	Group14
1462	Group14
1463	Group11
1464	Group13
1465	Group5
1466	Group13
1467	Group12
1468	Group15
1469	Group13
1470	Group10
1471	Group8
1472	Group1
1473	Group8
1474	Group6
1475	Group2
1476	Group10
1477	Group2
1478	Group13
1479	Group10
1480	Group6
1481	Group15
1482	Group1
1483	Group1
1484	Group15
1485	Group6
1486	Group10
1487	Group7
1488	Group15
1489	Group10
1490	Group12
1491	Group12
1492	Group4
1493	Group9
1494	Group11
1495	Group5
1496	Group14
1497	Group15
1498	Group12
1499	Group1
1500	Group14
1501	Group2
1502	Group6
1503	Group7
1504	Group6
1505	Group5
1506	Group12
1507	Group1
1508	Group9
1509	Group15
1510	Group14
1511	Group15
1512	Group12
1513	Group5
1514	Group9
1515	Group2
1516	Group11
1517	Group14
1518	Group15
1519	Group14
1520	Group11
1521	Group13
1522	Group5
1523	Group14
1524	Group7
1525	Group4
1526	Group6
1527	Group15
1528	Group4
1529	Group15
1530	Group4
1531	Group4
1532	Group5
1533	Group15
1534	Group13
1535	Group3
1536	Group12
1537	Group15
1538	Group6
1539	Group10
1540	Group1
1541	Group6
1542	Group6
1543	Group9
1544	Group5
1545	Group15
1546	Group13
1547	Group15
1548	Group14
1549	Group7
1550	Group14
1551	Group8
1552	Group6
1553	Group10
1554	Group9
1555	Group13
1556	Group12
1557	Group1
1558	Group5
1559	Group14
1560	Group13
1561	Group10
1562	Group12
1563	Group7
1564	Group7
1565	Group4
1566	Group8
1567	Group4
1568	Group15
1569	Group13
1570	Group15
1571	Group14
1572	Group8
1573	Group3
1574	Group5
1575	Group6
1576	Group10
1577	Group15
1578	Group6
1579	Group7
1580	Group13
1581	Group10
1582	Group9
1583	Group11
1584	Group15
1585	Group10
1586	Group4
1587	Group13
1588	Group13
1589	Group5
1590	Group3
1591	Group4
1592	Group2
1593	Group14
1594	Group14
1595	Group7
1596	Group7
1597	Group14
1598	Group5
1599	Group9
1600	Group15
1601	Group7
1602	Group2
1603	Group7
1604	Group12
1605	Group14
1606	Group5
1607	Group10
1608	Group6
1609	Group2
1610	Group5
1611	Group2
1612	Group5
1613	Group2
1614	Group4
1615	Group4
1616	Group11
1617	Group10
1618	Group12
1619	Group5
1620	Group11
1621	Group4
1622	Group6
1623	Group11
1624	Group15
1625	Group5
1626	Group13
1627	Group14
1628	Group11
1629	Group13
1630	Group1
1631	Group10
1632	Group15
1633	Group12
1634	Group5
1635	Group14
1636	Group6
1637	Group11
1638	Group6
1639	Group6
1640	Group4
1641	Group13
1642	Group6
1643	Group5
1644	Group7
1645	Group15
1646	Group14
1647	Group7
1648	Group7
1649	Group4
1650	Group7
1651	Group6
1652	Group6
1653	Group10
1654	Group11
1655	Group14
1656	Group9
1657	Group10
1658	Group2
1659	Group15
1660	Group11
1661	Group12
1662	Group11
1663	Group8
1664	Group15
1665	Group10
1666	Group8
1667	Group6
1668	Group1
1669	Group3
1670	Group14
1671	Group15
1672	Group7
1673	Group6
1674	Group14
1675	Group9
1676	Group7
1677	Group4
1678	Group12
1679	Group7
1680	Group14
1681	Group6
1682	Group6
1683	Group5
1684	Group12
1685	Group10
1686	Group14
1687	Group2
1688	Group15
1689	Group6
1690	Group14
1691	Group6
1692	Group11
1693	Group5
1694	Group2
1695	Group4
1696	Group13
1697	Group13
1698	Group7
1699	Group8
1700	Group10
1701	Group15
1702	Group5
1703	Group14
1704	Group1
1705	Group4
1706	Group6
1707	Group14
1708	Group15
1709	Group11
1710	Group3
1711	Group4
1712	Group5
1713	Group14
1714	Group5
1715	Group4
1716	Group5
1717	Group15
1718	Group2
1719	Group15
1720	Group15
1721	Group15
1722	Group5
1723	Group14
1724	Group11
1725	Group1
1726	Group7
1727	Group13
1728	Group7
1729	Group14
1730	Group14
1731	Group7
1732	Group13
1733	Group12
1734	Group7
1735	Group8
1736	Group13
1737	Group15
1738	Group6
1739	Group8
1740	Group2
1741	Group10
1742	Group5
1743	Group10
1744	Group15
1745	Group14
1746	Group14
1747	Group12
1748	Group14
1749	Group12
1750	Group5
1751	Group8
1752	Group13
1753	Group12
1754	Group3
1755	Group11
1756	Group12
1757	Group5
1758	Group2
1759	Group13
1760	Group15
1761	Group13
1762	Group6
1763	Group14
1764	Group2
1765	Group7
1766	Group7
1767	Group4
1768	Group13
1769	Group4
1770	Group14
1771	Group4
1772	Group6
1773	Group9
1774	Group1
1775	Group6
1776	Group4
1777	Group13
1778	Group3
1779	Group15
1780	Group14
1781	Group10
1782	Group10
1783	Group2
1784	Group7
1785	Group6
1786	Group6
1787	Group6
1788	Group15
1789	Group8
1790	Group6
1791	Group2
1792	Group13
1793	Group6
1794	Group1
1795	Group6
1796	Group5
1797	Group1
1798	Group12
1799	Group6
1800	Group7
1801	Group10
1802	Group14
1803	Group13
1804	Group4
1805	Group14
1806	Group11
1807	Group2
1808	Group13
1809	Group5
1810	Group6
1811	Group8
1812	Group15
1813	Group6
1814	Group2
1815	Group2
1816	Group13
1817	Group7
1818	Group1
1819	Group10
1820	Group15
1821	Group10
1822	Group13
1823	Group12
1824	Group10
1825	Group1
1826	Group14
1827	Group12
1828	Group13
1829	Group14
1830	Group15
1831	Group15
1832	Group6
1833	Group12
1834	Group15
1835	Group10
1836	Group7
1837	Group6
1838	Group3
1839	Group8
1840	Group12
1841	Group6
1842	Group13
1843	Group5
1844	Group6
1845	Group5
1846	Group2
1847	Group14
1848	Group5
1849	Group7
1850	Group6
1851	Group7
1852	Group10
1853	Group6
1854	Group14
1855	Group6
1856	Group8
1857	Group11
1858	Group9
1859	Group2
1860	Group6
1861	Group6
1862	Group11
1863	Group11
1864	Group15
1865	Group6
1866	Group13
1867	Group4
1868	Group5
1869	Group10
1870	Group3
1871	Group11
1872	Group4
1873	Group5
1874	Group3
1875	Group11
1876	Group9
1877	Group5
1878	Group6
1879	Group6
1880	Group6
1881	Group14
1882	Group13
1883	Group15
1884	Group13
1885	Group12
1886	Group5
1887	Group8
1888	Group7
1889	Group11
1890	Group4
1891	Group12
1892	Group9
1893	Group10
1894	Group12
1895	Group14
1896	Group8
1897	Group10
1898	Group10
1899	Group3
1900	Group14
1901	Group4
1902	Group5
1903	Group6
1904	Group5
1905	Group15
1906	Group15
1907	Group15
1908	Group1
1909	Group5
1910	Group10
1911	Group15
1912	Group7
1913	Group15
1914	Group14
1915	Group8
1916	Group4
1917	Group11
1918	Group6
1919	Group9
1920	Group14
1921	Group8
1922	Group5
1923	Group4
1924	Group13
1925	Group5
1926	Group4
1927	Group6
1928	Group2
1929	Group6
1930	Group8
1931	Group10
1932	Group15
1933	Group9
1934	Group1
1935	Group12
1936	Group10
1937	Group5
1938	Group5
1939	Group3
1940	Group8
1941	Group4
1942	Group3
1943	Group2
1944	Group15
1945	Group14
1946	Group6
1947	Group14
1948	Group10
1949	Group1
1950	Group2
1951	Group6
1952	Group11
1953	Group14
1954	Group15
1955	Group1
1956	Group10
1957	Group7
1958	Group9
1959	Group10
1960	Group9
1961	Group4
1962	Group5
1963	Group12
1964	Group12
1965	Group8
1966	Group12
1967	Group10
1968	Group15
1969	Group2
1970	Group6
1971	Group4
1972	Group6
1973	Group6
1974	Group2
1975	Group6
1976	Group14
1977	Group6
1978	Group11
1979	Group15
1980	Group10
1981	Group14
1982	Group6
1983	Group11
1984	Group8
1985	Group2
1986	Group5
1987	Group8
1988	Group2
1989	Group9
1990	Group13
1991	Group6
1992	Group14
1993	Group13
1994	Group10
1995	Group4
1996	Group10
1997	Group13
1998	Group8
1999	Group15
2000	Group8
